time,Clock_1.out_0,Voltage_Steps.out_0,Load_Torque_Steps.out_0,Clock_0.out_0,DC_Motor.Adder_3.out_0,DC_Motor.Adder_1.out_0,DC_Motor.Current,DC_Motor.a2.out_0,DC_Motor.Voltage.out_0,DC_Motor.a3.out_0,DC_Motor.a1.out_0,DC_Motor.Adder_2.out_0,DC_Motor.a4.out_0,DC_Motor.x1_current.out_0,DC_Motor.Rotor_Shaft_Speed,DC_Motor.random_noise1.PythonScript_0.out_0,DC_Motor.random_noise1.Outport_0,DC_Motor.random_noise1.Clock_0.out_0,DC_Motor.b2.out_0,DC_Motor.b1.out_0,DC_Motor.Load_torque.out_0,DC_Motor.random_noise2.PythonScript_0.out_0,DC_Motor.random_noise2.Clock_0.out_0,DC_Motor.random_noise2.Outport_0,DC_Motor.x2_speed.out_0,DC_Motor.Adder_0.out_0
0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,1.0000000000000001e-01,0.0000000000000000e+00,4.2575600209757081e-01,-7.9985047600000007e+02,3.0254192327079432e-02,5.4571428571428566e-04,4.0000000000000000e+00,1.4960000000000001e-01,1.7142857142857144e-02,3.0254192327079432e-02,7.6000000000000004e-05,1.0000000000000000e-03,4.2575600209757081e-01,4.2475600209757081e-01,4.2475600209757081e-01,0.0000000000000000e+00,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,2.9254192327079431e-02,0.0000000000000000e+00,2.9254192327079431e-02,1.0000000000000000e-03,1.1426802571428570e+02
1.0000000000000000e-02,1.0000000000000000e-02,4.0000000000000000e+00,1.0000000000000001e-01,1.0000000000000000e-02,-6.5802573499301715e+00,-6.3933616902343215e+02,1.2894342916488062e+00,-3.9166863002975125e+00,4.0000000000000000e+00,1.6011836576406569e+02,1.8348170255622499e+01,1.2894342916488062e+00,-5.4546521250216684e-01,1.0703099315779792e+00,-6.5802573499301715e+00,5.9691649878254971e-01,5.9691649878254971e-01,1.0000000000000000e-02,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,2.1912436007082708e-01,1.0000000000000000e-02,2.1912436007082708e-01,-7.1771738487127212e+00,9.9854230330389299e+01
2.0000000000000000e-02,2.0000000000000000e-02,4.0000000000000000e+00,1.0000000000000001e-01,2.0000000000000000e-02,-9.9707879737727687e+00,-4.9934415613388302e+02,2.4724259997708362e+00,-7.0149847090143123e+00,4.0000000000000000e+00,2.9967888788046366e+02,3.4340590666210510e+01,2.4724259997708362e+00,-9.7695598565330233e-01,2.0032011221956130e+00,-9.9707879737727687e+00,2.8838960479812101e+00,2.8838960479812101e+00,2.0000000000000000e-02,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,4.6922487757522324e-01,2.0000000000000000e-02,4.6922487757522324e-01,-1.2854684021753979e+01,8.6960108328518089e+01
2.9999999999999999e-02,2.9999999999999999e-02,4.0000000000000000e+00,1.0000000000000001e-01,2.9999999999999999e-02,-1.6841862831436654e+01,-3.7769413445685336e+02,3.1935281436072391e+00,-9.4002982805197828e+00,4.0000000000000000e+00,4.2099671405486481e+02,4.8242556996355788e+01,3.1935281436072391e+00,-1.3091514882818127e+00,2.8141491581207543e+00,-1.6841862831436654e+01,3.8381464595562165e-01,3.8381464595562165e-01,2.9999999999999999e-02,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,3.7937898548648474e-01,2.9999999999999999e-02,3.7937898548648474e-01,-1.7225677477392274e+01,7.5443455569878267e+01
4.0000000000000001e-02,4.0000000000000001e-02,4.0000000000000000e+00,1.0000000000000001e-01,4.0000000000000001e-02,-1.8537333910090940e+01,-2.7241102276015386e+02,3.6559285781343918e+00,-1.1167245544821329e+01,4.0000000000000000e+00,5.2603374827915377e+02,6.0278886357427858e+01,3.6559285781343918e+00,-1.5552289606923948e+00,3.5162683708499585e+00,-1.8537333910090940e+01,1.9262050463879379e+00,1.9262050463879379e+00,4.0000000000000001e-02,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,1.3966020728443312e-01,4.0000000000000001e-02,1.3966020728443312e-01,-2.0463538956478878e+01,6.5174073473107740e+01
5.0000000000000003e-02,5.0000000000000003e-02,4.0000000000000000e+00,1.0000000000000001e-01,5.0000000000000003e-02,-2.0628361329247848e+01,-1.8170753810839949e+02,4.5523043153450100e+00,-1.2400186570918432e+01,4.0000000000000000e+00,6.1656552491366108e+02,7.0653039524101729e+01,4.5523043153450100e+00,-1.7269369779394259e+00,4.1214273055726007e+00,-2.0628361329247848e+01,2.0944936436393355e+00,2.0944936436393355e+00,5.0000000000000003e-02,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,4.3087700977240917e-01,5.0000000000000003e-02,4.3087700977240917e-01,-2.2722854972887184e+01,5.6032861332530985e+01
5.9999999999999998e-02,5.9999999999999998e-02,4.0000000000000000e+00,1.0000000000000001e-01,5.9999999999999998e-02,-2.1234557576943963e+01,-1.0396809860970750e+02,5.0996972588092762e+00,-1.3174203320361432e+01,4.0000000000000000e+00,6.9419716940955107e+02,7.9548949894142595e+01,5.0996972588092762e+00,-1.8347319807414355e+00,4.6403554104916518e+00,-2.1234557576943963e+01,2.9066526959696599e+00,2.9066526959696599e+00,5.9999999999999998e-02,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,4.5934184831762431e-01,5.9999999999999998e-02,4.5934184831762431e-01,-2.4141210272913625e+01,4.7910967711933111e+01
6.9999999999999993e-02,6.9999999999999993e-02,4.0000000000000000e+00,1.0000000000000001e-01,6.9999999999999993e-02,-2.3244106179810608e+01,-3.7733965061215621e+01,5.3324267292747640e+00,-1.3555995573589476e+01,4.0000000000000000e+00,7.6037813189031590e+02,8.7132711828531228e+01,5.3324267292747640e+00,-1.8879030484684822e+00,5.0827415233309887e+00,-2.3244106179810608e+01,1.5967234053010033e+00,1.5967234053010033e+00,6.9999999999999993e-02,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,2.4968520594377569e-01,6.9999999999999993e-02,2.4968520594377569e-01,-2.4840829585111610e+01,4.0708998030772520e+01
7.9999999999999988e-02,7.9999999999999988e-02,4.0000000000000000e+00,1.0000000000000001e-01,7.9999999999999988e-02,-2.2715858960739826e+01,1.8310461340967809e+01,5.8986444760902286e+00,-1.3604698961991005e+01,4.0000000000000000e+00,8.1641577551694184e+02,9.3554137759771791e+01,5.8986444760902286e+00,-1.8946858240259727e+00,5.4573247026533549e+00,-2.2715858960739826e+01,2.2142176711808683e+00,2.2142176711808683e+00,7.9999999999999988e-02,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,4.4131977343687390e-01,7.9999999999999988e-02,4.4131977343687390e-01,-2.4930076631920695e+01,3.4336275487933491e+01
8.9999999999999983e-02,8.9999999999999983e-02,4.0000000000000000e+00,1.0000000000000001e-01,8.9999999999999983e-02,-2.3882004767450457e+01,6.5350263761574737e+01,6.1703625298160922e+00,-1.3372631198352517e+01,4.0000000000000000e+00,8.6348789732243245e+02,9.8948192970484996e+01,6.1703625298160922e+00,-1.8623664391422881e+00,5.7719779232782917e+00,-2.3882004767450457e+01,6.2281680021122821e-01,6.2281680021122821e-01,8.9999999999999983e-02,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,3.9838460653780078e-01,8.9999999999999983e-02,3.9838460653780078e-01,-2.4504821567661686e+01,2.8710152513581804e+01
